datetime,open,high,low,close,volume
2026-03-18 11:00:00+00:00,2311.71,2311.72,2303.84,2305.78,9473.86
2026-03-18 11:05:00+00:00,2305.78,2311.0,2302.99,2310.23,9090.09999999998
2026-03-18 11:10:00+00:00,2310.23,2317.52,2310.23,2313.59,7506.470000000004
2026-03-18 11:15:00+00:00,2313.59,2315.99,2313.21,2314.39,3297.9199999999937
2026-03-18 11:20:00+00:00,2314.39,2314.45,2309.67,2310.42,3146.249999999998
2026-03-18 11:25:00+00:00,2310.42,2310.76,2291.75,2294.1,9384.059999999992
2026-03-18 11:30:00+00:00,2294.1,2296.88,2272.47,2275.47,40466.43000000008
2026-03-18 11:35:00+00:00,2275.47,2275.47,2262.05,2262.99,34337.690000000046
2026-03-18 11:40:00+00:00,2262.99,2275.23,2262.58,2275.13,21270.54000000002
2026-03-18 11:45:00+00:00,2275.13,2275.36,2268.81,2270.95,11490.429999999986
2026-03-18 11:50:00+00:00,2270.95,2275.92,2266.03,2267.82,10352.139999999996
2026-03-18 11:55:00+00:00,2267.82,2270.86,2264.89,2268.13,5884.2899999999845
2026-03-18 12:00:00+00:00,2268.13,2269.76,2261.53,2265.54,12983.410000000013
2026-03-18 12:05:00+00:00,2265.54,2265.77,2255.18,2258.46,15555.390000000014
2026-03-18 12:10:00+00:00,2258.46,2259.65,2253.0,2259.0,13989.220000000018
2026-03-18 12:15:00+00:00,2259.0,2262.59,2255.53,2258.02,10224.16
2026-03-18 12:20:00+00:00,2258.02,2261.34,2254.98,2258.45,8227.889999999983
2026-03-18 12:25:00+00:00,2258.45,2262.96,2257.35,2262.52,7236.539999999996
2026-03-18 12:30:00+00:00,2262.52,2262.62,2239.26,2241.94,33619.28000000008
2026-03-18 12:35:00+00:00,2241.94,2246.26,2239.69,2241.9,14167.240000000018
2026-03-18 12:40:00+00:00,2241.9,2244.41,2236.54,2241.04,18670.050000000047
2026-03-18 12:45:00+00:00,2241.04,2241.04,2234.93,2238.32,18755.32000000003
2026-03-18 12:50:00+00:00,2238.32,2245.48,2234.99,2243.64,12319.239999999998
2026-03-18 12:55:00+00:00,2243.64,2244.95,2236.26,2236.26,11968.120000000008
2026-03-18 13:00:00+00:00,2236.26,2237.22,2222.23,2233.22,22763.25000000004
2026-03-18 13:05:00+00:00,2233.22,2239.32,2233.22,2236.14,14668.580000000007
2026-03-18 13:10:00+00:00,2236.14,2238.71,2233.57,2236.82,9672.599999999997
2026-03-18 13:15:00+00:00,2236.82,2236.82,2228.86,2232.32,8020.41999999999
2026-03-18 13:20:00+00:00,2232.32,2240.95,2230.98,2239.19,9416.859999999995
2026-03-18 13:25:00+00:00,2239.19,2240.04,2236.22,2237.71,9511.88
2026-03-18 13:30:00+00:00,2237.71,2237.95,2230.74,2231.73,9293.179999999997
2026-03-18 13:35:00+00:00,2231.73,2242.0,2231.58,2239.48,13626.240000000014
2026-03-18 13:40:00+00:00,2239.48,2244.07,2235.98,2236.92,14703.700000000012
2026-03-18 13:45:00+00:00,2236.92,2239.99,2232.14,2235.48,7773.699999999984
2026-03-18 13:50:00+00:00,2235.48,2237.54,2231.91,2234.09,5889.409999999993
2026-03-18 13:55:00+00:00,2234.09,2235.25,2228.25,2234.39,10395.009999999997
2026-03-18 14:00:00+00:00,2234.39,2236.21,2225.31,2229.14,8958.799999999988
2026-03-18 14:05:00+00:00,2229.14,2232.91,2225.71,2230.21,5468.949999999986
2026-03-18 14:10:00+00:00,2230.21,2230.94,2221.2,2222.05,13918.650000000016
2026-03-18 14:15:00+00:00,2222.05,2225.94,2219.73,2222.1,10432.03999999999
2026-03-18 14:20:00+00:00,2222.1,2227.12,2220.78,2224.7,7039.1299999999865
2026-03-18 14:25:00+00:00,2224.7,2225.95,2211.35,2214.63,23524.010000000013
2026-03-18 14:30:00+00:00,2214.63,2222.24,2212.59,2219.52,13396.830000000002
2026-03-18 14:35:00+00:00,2219.52,2223.52,2218.03,2218.45,6241.529999999989
2026-03-18 14:40:00+00:00,2218.45,2219.27,2202.06,2203.32,27858.00000000003
2026-03-18 14:45:00+00:00,2203.32,2209.77,2203.13,2209.77,14262.890000000005
2026-03-18 14:50:00+00:00,2209.77,2211.02,2193.37,2196.02,27023.68000000005
2026-03-18 14:55:00+00:00,2196.02,2197.52,2186.08,2189.23,34295.15000000003
2026-03-18 15:00:00+00:00,2189.23,2191.73,2168.01,2186.42,53689.35000000001
2026-03-18 15:05:00+00:00,2186.42,2194.82,2184.27,2192.99,19436.610000000044
2026-03-18 15:10:00+00:00,2192.99,2193.01,2175.96,2179.96,17040.39000000002
2026-03-18 15:15:00+00:00,2179.96,2185.96,2177.01,2181.93,14324.340000000006
2026-03-18 15:20:00+00:00,2181.93,2183.05,2173.46,2178.33,15141.28000000002
2026-03-18 15:25:00+00:00,2178.33,2182.69,2174.99,2181.77,8851.35999999999
2026-03-18 15:30:00+00:00,2181.77,2191.14,2178.69,2189.12,12803.759999999997
2026-03-18 15:35:00+00:00,2189.12,2189.22,2182.32,2184.88,8905.589999999993
2026-03-18 15:40:00+00:00,2184.88,2184.96,2178.06,2182.73,6885.799999999992
2026-03-18 15:45:00+00:00,2182.73,2182.87,2176.03,2179.84,7033.38
2026-03-18 15:50:00+00:00,2179.84,2183.96,2178.76,2183.77,7345.019999999991
2026-03-18 15:55:00+00:00,2183.77,2188.31,2181.71,2186.38,13737.000000000013
2026-03-18 16:00:00+00:00,2186.38,2190.25,2182.63,2183.57,12485.060000000012
2026-03-18 16:05:00+00:00,2183.57,2184.83,2178.92,2180.34,6628.019999999991
2026-03-18 16:10:00+00:00,2180.34,2182.2,2174.11,2176.25,16589.280000000002
2026-03-18 16:15:00+00:00,2176.25,2179.58,2173.57,2174.07,5820.659999999984
2026-03-18 16:20:00+00:00,2174.07,2176.6,2170.62,2171.97,11369.350000000004
2026-03-18 16:25:00+00:00,2171.97,2175.98,2165.97,2173.63,12334.949999999992
2026-03-18 16:30:00+00:00,2173.63,2177.38,2170.62,2171.28,5676.979999999986
2026-03-18 16:35:00+00:00,2171.28,2178.16,2167.55,2176.87,6698.269999999986
2026-03-18 16:40:00+00:00,2176.87,2179.01,2173.71,2179.01,5393.929999999987
2026-03-18 16:45:00+00:00,2179.01,2180.82,2177.7,2179.13,5681.469999999991
2026-03-18 16:50:00+00:00,2179.13,2186.07,2176.79,2184.83,7824.9299999999985
2026-03-18 16:55:00+00:00,2184.83,2184.83,2178.85,2180.0,5630.95999999999
