N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected,Rule,Model,Cohort
964,117,0.075,137,0.665851,0.794599,58,6,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.6837606837606838,-0.008547008547008517,0.7532467532467533,0.8134592680047226,0.06021251475796929,0.745850622406639,0.7977178423236515,0.051867219917012486,0.2793103448275862,0.33613445378151263,0.9465875370919882,0.9490358126721763,80,37,689,158,2,3,55,4,1.0,1.6979681549678105e-12,7.638141345540223e-11,57,7,50,sens_drop_le_0p02,Meaning-aware contrastive SEC,Gangnam_internal_CV
964,117,0.2,388,0.627198,0.730625,107,26,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.6239316239316239,-0.06837606837606836,0.7532467532467533,0.8394332939787486,0.08618654073199528,0.745850622406639,0.8132780082987552,0.06742738589211617,0.2793103448275862,0.3492822966507177,0.9465875370919882,0.9417218543046357,73,44,711,136,4,12,95,22,0.076812744140625,5.3144029909432085e-12,1.487726043043053e-08,99,34,65,sens_p_guard,Meaning-aware contrastive SEC,Gangnam_internal_CV
964,117,0.075,137,0.707501,0.794599,42,6,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.6923076923076923,0.0,0.7532467532467533,0.7957497048406139,0.04250295159386064,0.745850622406639,0.783195020746888,0.03734439834024894,0.2793103448275862,0.3188976377952756,0.9465875370919882,0.9492957746478873,81,36,674,173,2,2,40,4,1.0,1.7051434042514302e-08,1.0087482138487758e-07,42,6,36,no_sens_drop,Meaning-aware contrastive SEC,Gangnam_internal_CV
964,117,none,964,0.181889,1.01,275,0,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.08547008547008547,-0.6068376068376068,0.7532467532467533,0.9940968122786304,0.24085005903187717,0.745850622406639,0.8838174273858921,0.13796680497925307,0.2793103448275862,0.6666666666666666,0.9465875370919882,0.8872497365648051,10,107,842,5,0,71,204,0,8.470329472543003e-22,7.778769097326427e-62,4.49140797733786e-16,204,71,133,max_net,Meaning-aware contrastive SEC,Gangnam_internal_CV
