N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected,Cohort,GroupType,Group
964,117,0.075,137,0.708,0.795,42,6,0.813,0.674,0.729,0.692,0.692,0.000,0.753,0.796,0.043,0.746,0.783,0.037,0.279,0.319,0.947,0.949,81,36,674,173,2,2,40,4,1.000,<0.001,<0.001,42,6,36,Gangnam_internal_CV,Overall,All
350,68,0.075,55,0.708,0.795,27,3,0.771,0.683,0.721,0.809,0.779,-0.029,0.539,0.617,0.078,0.591,0.649,0.057,0.297,0.329,0.921,0.921,53,15,174,108,0,2,25,3,0.500,<0.001,<0.001,25,5,20,Gangnam_internal_CV,Sex,M
614,49,0.075,82,0.708,0.795,15,3,0.811,0.673,0.708,0.531,0.571,0.041,0.860,0.885,0.025,0.834,0.860,0.026,0.248,0.301,0.955,0.960,28,21,500,65,2,0,15,1,0.500,<0.001,<0.001,17,1,16,Gangnam_internal_CV,Sex,F
232,20,0.075,23,0.708,0.795,5,1,0.799,0.552,0.823,0.650,0.650,0.000,0.788,0.807,0.019,0.776,0.793,0.017,0.224,0.241,0.960,0.961,13,7,171,41,0,0,5,1,1.000,0.219,0.219,5,1,4,Gangnam_internal_CV,Phase,Pre/noncontrast
731,97,0.075,114,0.708,0.795,37,5,0.815,0.700,0.706,0.701,0.701,0.000,0.741,0.792,0.050,0.736,0.780,0.044,0.293,0.340,0.942,0.945,68,29,502,132,2,2,35,3,1.000,<0.001,<0.001,37,5,32,Gangnam_internal_CV,Phase,Post/contrast
1,0,0.075,0,0.708,0.795,0,0,,,,,,,1.000,1.000,0.000,1.000,1.000,0.000,,,1.000,1.000,0,0,1,0,0,0,0,0,1.000,1.000,1.000,0,0,0,Gangnam_internal_CV,Scanner,Aquilion
1,0,0.075,0,0.708,0.795,0,0,,,,,,,1.000,1.000,0.000,1.000,1.000,0.000,,,1.000,1.000,0,0,1,0,0,0,0,0,1.000,1.000,1.000,0,0,0,Gangnam_internal_CV,Scanner,Aquilion ONE
187,22,0.075,36,0.708,0.795,15,0,0.855,0.785,0.763,0.818,0.818,0.000,0.679,0.770,0.091,0.695,0.775,0.080,0.254,0.321,0.966,0.969,18,4,127,38,0,0,15,0,1.000,<0.001,<0.001,15,0,15,Gangnam_internal_CV,Scanner,Ingenuity Core 128
266,25,0.075,39,0.708,0.795,11,0,0.800,0.748,0.722,0.640,0.600,-0.040,0.780,0.822,0.041,0.767,0.801,0.034,0.232,0.259,0.954,0.952,15,10,198,43,0,1,10,0,1.000,0.002,0.012,10,1,9,Gangnam_internal_CV,Scanner,Revolution CT
162,26,0.075,23,0.708,0.795,2,4,0.796,0.574,0.775,0.654,0.692,0.038,0.750,0.743,-0.007,0.735,0.735,0.000,0.333,0.340,0.919,0.927,18,8,101,35,1,0,2,3,1.000,1.000,1.000,3,3,0,Gangnam_internal_CV,Scanner,SOMATOM Definition AS+
2,0,0.075,0,0.708,0.795,0,0,,,,,,,0.500,0.500,0.000,0.500,0.500,0.000,0.000,0.000,1.000,1.000,0,0,1,1,0,0,0,0,1.000,1.000,1.000,0,0,0,Gangnam_internal_CV,Scanner,SOMATOM Definition Edge
1,0,0.075,0,0.708,0.795,0,0,,,,,,,1.000,1.000,0.000,1.000,1.000,0.000,,,1.000,1.000,0,0,1,0,0,0,0,0,1.000,1.000,1.000,0,0,0,Gangnam_internal_CV,Scanner,SOMATOM Drive
344,44,0.075,39,0.708,0.795,14,2,0.812,0.604,0.692,0.682,0.682,0.000,0.773,0.813,0.040,0.762,0.797,0.035,0.306,0.349,0.943,0.946,30,14,244,56,1,1,13,1,1.000,0.002,0.004,14,2,12,Gangnam_internal_CV,Scanner,Sensation 64
926,141,0.075,139,0.708,0.795,43,2,0.834,0.725,0.669,0.851,0.837,-0.014,0.655,0.704,0.050,0.685,0.725,0.040,0.307,0.337,0.961,0.960,118,23,553,232,0,2,41,2,0.500,<0.001,<0.001,41,4,37,Shinchon_sdata_external,Overall,All
428,98,0.075,65,0.708,0.795,27,0,0.806,0.755,0.568,0.918,0.908,-0.010,0.415,0.494,0.079,0.530,0.589,0.058,0.318,0.348,0.945,0.948,89,9,163,167,0,1,26,0,1.000,<0.001,<0.001,26,1,25,Shinchon_sdata_external,Sex,M
