N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected,Cohort,GroupType,Group
498,43,0.075,74,0.708,0.795,16,2,0.825,0.632,0.711,0.698,0.674,-0.023,0.829,0.857,0.029,0.817,0.841,0.024,0.278,0.309,0.967,0.965,29,14,390,65,0,1,15,2,1.000,0.002,0.008,15,3,12,Shinchon_sdata_external,Sex,F
622,103,0.075,99,0.708,0.795,26,2,0.854,0.746,0.599,0.864,0.845,-0.019,0.684,0.726,0.042,0.714,0.746,0.032,0.352,0.380,0.962,0.959,87,16,377,142,0,2,24,2,0.500,<0.001,<0.001,24,4,20,Shinchon_sdata_external,Phase,Pre/noncontrast
300,38,0.075,39,0.708,0.795,17,0,0.795,0.689,0.783,0.816,0.816,0.000,0.595,0.660,0.065,0.623,0.680,0.057,0.226,0.258,0.957,0.961,31,7,173,89,0,0,17,0,1.000,<0.001,<0.001,17,0,17,Shinchon_sdata_external,Phase,Post/contrast
1,0,0.075,1,0.708,0.795,1,0,,,,,,,0.000,1.000,1.000,0.000,1.000,1.000,0.000,,,1.000,0,0,1,0,0,0,1,0,1.000,1.000,1.000,1,0,1,Shinchon_sdata_external,Scanner,Aquilion
2,0,0.075,0,0.708,0.795,0,0,,,,,,,0.500,0.500,0.000,0.500,0.500,0.000,0.000,0.000,1.000,1.000,0,0,1,1,0,0,0,0,1.000,1.000,1.000,0,0,0,Shinchon_sdata_external,Scanner,Aquilion ONE
6,1,0.075,2,0.708,0.795,1,0,0.800,0.500,,1.000,1.000,0.000,0.600,0.800,0.200,0.667,0.833,0.167,0.333,0.500,1.000,1.000,1,0,4,1,0,0,1,0,1.000,1.000,1.000,1,0,1,Shinchon_sdata_external,Scanner,Discovery CT750 HD
50,9,0.075,13,0.708,0.795,4,0,0.843,0.705,0.533,0.889,0.778,-0.111,0.732,0.805,0.073,0.760,0.800,0.040,0.421,0.467,0.968,0.943,7,2,33,8,0,1,3,0,1.000,0.250,0.625,3,1,2,Shinchon_sdata_external,Scanner,LightSpeed VCT
13,4,0.075,1,0.708,0.795,0,0,0.806,1.000,0.000,0.750,0.750,0.000,0.667,0.667,0.000,0.692,0.692,0.000,0.500,0.500,0.857,0.857,3,1,6,3,0,0,0,0,1.000,1.000,1.000,0,0,0,Shinchon_sdata_external,Scanner,Revolution CT
149,43,0.075,24,0.708,0.795,5,0,0.827,0.771,0.635,0.837,0.837,0.000,0.660,0.708,0.047,0.711,0.745,0.034,0.500,0.537,0.909,0.915,36,7,75,31,0,0,5,0,1.000,0.062,0.062,5,0,5,Shinchon_sdata_external,Scanner,Revolution EVO
1,1,0.075,0,0.708,0.795,0,0,,,,1.000,1.000,0.000,,,,1.000,1.000,0.000,1.000,1.000,,,1,0,0,0,0,0,0,0,1.000,1.000,1.000,0,0,0,Shinchon_sdata_external,Scanner,Revolution Frontier
2,0,0.075,1,0.708,0.795,1,0,,,,,,,0.000,0.500,0.500,0.000,0.500,0.500,0.000,0.000,,1.000,0,0,1,1,0,0,1,0,1.000,1.000,1.000,1,0,1,Shinchon_sdata_external,Scanner,SOMATOM Definition
166,17,0.075,15,0.708,0.795,8,0,0.805,0.674,0.916,0.824,0.824,0.000,0.611,0.664,0.054,0.633,0.681,0.048,0.194,0.219,0.968,0.971,14,3,99,50,0,0,8,0,1.000,0.008,0.008,8,0,8,Shinchon_sdata_external,Scanner,SOMATOM Definition AS+
1,0,0.075,0,0.708,0.795,0,0,,,,,,,1.000,1.000,0.000,1.000,1.000,0.000,,,1.000,1.000,0,0,1,0,0,0,0,0,1.000,1.000,1.000,0,0,0,Shinchon_sdata_external,Scanner,SOMATOM Definition Edge
228,31,0.075,36,0.708,0.795,9,1,0.909,0.773,0.809,0.935,0.935,0.000,0.665,0.706,0.041,0.702,0.737,0.035,0.305,0.333,0.985,0.986,29,2,139,58,0,0,9,1,1.000,0.021,0.021,9,1,8,Shinchon_sdata_external,Scanner,SOMATOM Definition Flash
123,12,0.075,15,0.708,0.795,8,0,0.869,0.764,0.826,0.917,0.917,0.000,0.622,0.694,0.072,0.650,0.715,0.065,0.208,0.244,0.986,0.987,11,1,77,34,0,0,8,0,1.000,0.008,0.008,8,0,8,Shinchon_sdata_external,Scanner,SOMATOM Force
1,0,0.075,1,0.708,0.795,1,0,,,,,,,0.000,1.000,1.000,0.000,1.000,1.000,0.000,,,1.000,0,0,1,0,0,0,1,0,1.000,1.000,1.000,1,0,1,Shinchon_sdata_external,Scanner,SOMATOM go.Top
48,9,0.075,6,0.708,0.795,0,0,0.815,0.701,0.286,0.778,0.778,0.000,0.718,0.718,0.000,0.729,0.729,0.000,0.389,0.389,0.933,0.933,7,2,28,11,0,0,0,0,1.000,1.000,1.000,0,0,0,Shinchon_sdata_external,Scanner,Sensation 64
135,14,0.075,24,0.708,0.795,5,1,0.750,0.554,0.786,0.714,0.643,-0.071,0.694,0.719,0.025,0.696,0.711,0.015,0.213,0.209,0.955,0.946,9,5,87,34,0,1,4,1,1.000,0.375,0.688,4,2,2,Shinchon_sdata_external,Scanner,iCT 256
