N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected,Cohort,Rule
964,117,0.075,137,0.708,0.795,42,6,0.813,0.674,0.729,0.692,0.692,0.000,0.753,0.796,0.043,0.746,0.783,0.037,0.279,0.319,0.947,0.949,81,36,674,173,2,2,40,4,1.000,<0.001,<0.001,42,6,36,Gangnam_internal_CV,no_sens_drop
926,141,0.075,139,0.708,0.795,43,2,0.834,0.725,0.669,0.851,0.837,-0.014,0.655,0.704,0.050,0.685,0.725,0.040,0.307,0.337,0.961,0.960,118,23,553,232,0,2,41,2,0.500,<0.001,<0.001,41,4,37,Shinchon_sdata_external,no_sens_drop
