Cohort,N,Events,ClinicalPositiveN,ClinicalPositive_TP,ClinicalPositive_FP,RuleOutN,RuleOut_correctedFP,RuleOut_lostTP,ClinicalNegativeN,ClinicalNegative_TN,ClinicalNegative_FN,RuleInN,RuleIn_rescuedFN,RuleIn_addedFP,NetCorrected
Gangnam_internal_CV,964,117,290,81,209,42,40,2,674,638,36,6,2,4,36
Shinchon_sdata_external,926,141,391,120,271,43,41,2,535,514,21,2,0,2,37
