N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected,Rule,Model,Cohort
964,117,0.075,137,0.666,0.795,58,6,0.813,0.674,0.729,0.692,0.684,-0.009,0.753,0.813,0.060,0.746,0.798,0.052,0.279,0.336,0.947,0.949,80,37,689,158,2,3,55,4,1.000,<0.001,<0.001,57,7,50,sens_drop_le_0p02,Meaning-aware contrastive SEC,Gangnam_internal_CV
964,117,0.2,388,0.627,0.731,107,26,0.813,0.674,0.729,0.692,0.624,-0.068,0.753,0.839,0.086,0.746,0.813,0.067,0.279,0.349,0.947,0.942,73,44,711,136,4,12,95,22,0.077,<0.001,<0.001,99,34,65,sens_p_guard,Meaning-aware contrastive SEC,Gangnam_internal_CV
964,117,0.075,137,0.708,0.795,42,6,0.813,0.674,0.729,0.692,0.692,0.000,0.753,0.796,0.043,0.746,0.783,0.037,0.279,0.319,0.947,0.949,81,36,674,173,2,2,40,4,1.000,<0.001,<0.001,42,6,36,no_sens_drop,Meaning-aware contrastive SEC,Gangnam_internal_CV
964,117,none,964,0.182,1.010,275,0,0.813,0.674,0.729,0.692,0.085,-0.607,0.753,0.994,0.241,0.746,0.884,0.138,0.279,0.667,0.947,0.887,10,107,842,5,0,71,204,0,<0.001,<0.001,<0.001,204,71,133,max_net,Meaning-aware contrastive SEC,Gangnam_internal_CV
