aec_point,Age,BMI,SMI,Sex(M=1),Sarcopenia,TAMA
0,-0.08760021286525224,0.3367601889596473,0.13635942682023663,-0.04109241933104253,-0.152925756353327,0.16885097653465492
1,-0.08855349467324743,0.3368632414136263,0.1348859492787395,-0.0440938018147368,-0.15384876540064701,0.167218723277266
2,-0.0886397326923388,0.33747021254619924,0.1330240280168934,-0.04734199866349397,-0.1545906178763766,0.16545636323885607
3,-0.08791738049356486,0.33820534811860875,0.1318346395076689,-0.05008354582935214,-0.1552686392925791,0.16417581898924757
4,-0.08695022028470756,0.33907515709507646,0.13041272538106458,-0.05276357522930735,-0.15595048076215073,0.1627749094333552
5,-0.0864513931945748,0.34081572039569025,0.12941393910602716,-0.0547280332240632,-0.1566142338998063,0.16221826239139744
6,-0.0866917758625027,0.3424920842945151,0.12843254934857296,-0.05635533575134308,-0.15716496593700915,0.16188755336437038
7,-0.08626648537783968,0.34396211656135667,0.1280561099031113,-0.05714366307009019,-0.1571975935850474,0.16198538876147786
8,-0.0847706384399321,0.34526291341851745,0.1276336076580023,-0.057732929608800276,-0.15691182956323513,0.16186192679851424
9,-0.08317665680806066,0.34713147734872557,0.12833252166814446,-0.05743765260576678,-0.15707106340100435,0.16274135704560738
10,-0.08138730496460699,0.34892695910643445,0.1288348888018257,-0.05702585474315478,-0.15761284153161842,0.1634648745113865
11,-0.07979704779226812,0.35010559291720267,0.12821334499752204,-0.05687477438633109,-0.15700239044428566,0.16347489147896233
12,-0.07880269155820983,0.35136837388162706,0.12791981615316578,-0.05695594822097873,-0.15644694950503069,0.16368945121062034
13,-0.07768182276797791,0.3535290992864083,0.12865266197182434,-0.05627898979201029,-0.15647559244641077,0.16486699759097384
14,-0.07606887639654791,0.3553624755186596,0.12969658074445062,-0.054944926400644425,-0.15605527458148058,0.1663827717449935
15,-0.07418141208981101,0.3575550240802926,0.13131604893006213,-0.05348388020881297,-0.15597960172072328,0.16816833244162882
16,-0.07202627302725687,0.3593203607469103,0.1320725977538634,-0.05229213204637329,-0.1552775552861993,0.16917734440226467
17,-0.06947464391474215,0.36109424655615435,0.13262747388882387,-0.05075853584731098,-0.15417843890301444,0.17013836351722864
18,-0.0664687562427593,0.3625981220343279,0.13249011680905662,-0.049519573591806046,-0.15292126370556702,0.17066412306759612
19,-0.06366194317084077,0.36467034126308995,0.13307124409810211,-0.048145755489515364,-0.15176798409365905,0.17175502636769757
20,-0.06065451945758349,0.3674331429157225,0.13470785107839056,-0.04618588742692977,-0.15130427132260196,0.17360880945000862
21,-0.057601368093255834,0.3707690137641498,0.13706007090395145,-0.04333146378226383,-0.1507253813771388,0.1762382153931522
22,-0.05405513474673452,0.37374503006896126,0.13890765848373743,-0.04086605819054108,-0.15036567699603462,0.1783058691485205
23,-0.04948297337600583,0.3771667835327588,0.14035352253436478,-0.03854006560760883,-0.14990216486303015,0.18013042069674068
24,-0.04403608917704285,0.38066461708923305,0.14084216111715403,-0.03700327227672335,-0.149447230863184,0.18096835460126656
25,-0.03941253796160345,0.38390462293506067,0.14183190332927076,-0.03543928955345212,-0.14939864430870328,0.18216500090485196
26,-0.034745597252523484,0.3875439520186487,0.14372164519100106,-0.03342073777551214,-0.1492961305647699,0.1841141683712267
