cohort,operating_point,clinical_sensitivity,post_sensitivity,sensitivity_loss,sensitivity_loss_upper95_one_sided,formal_NI_margin,formal_NI_pass,clinical_specificity,post_specificity,specificity_gain,clinical_accuracy,post_accuracy,accuracy_gain,total_low_smi,tp_lost,total_nonlow_smi,fp_removed,deescalated_n,deescalated_low_smi_events,deescalated_event_rate
Gangnam internal,S90,0.9004149377593361,0.8921161825726142,0.008298755186721992,0.025891771716774304,0.05,True,0.3745583038869258,0.4204946996466431,0.045936395759717315,0.4908256880733945,0.5247706422018349,0.0339449541284404,241,2,849,39,41,2,0.04878048780487805
Sinchon external,S90,0.9397590361445783,0.9116465863453815,0.028112449799196786,0.05215302920664014,0.05,False,0.33580980683506684,0.39078751857355126,0.0549777117384844,0.49891540130151846,0.5314533622559653,0.03253796095444683,249,7,673,37,44,7,0.1590909090909091
