group,n,low_smi_events,low_smi_rate,fisher_p
Clinical+ / AEC+ de-escalation morphology,44,7,0.1590909090909091,0.007994525977829493
Clinical+ / AEC- retained morphology,637,227,0.3563579277864992,0.007994525977829493
