N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected,Rule,Model,Cohort
1090,129,0.075,190,0.831,1.010,17,0,0.829,0.682,0.650,0.791,0.775,-0.016,0.690,0.706,0.016,0.702,0.714,0.012,0.255,0.261,0.961,0.959,100,29,678,283,0,2,15,0,0.500,<0.001,0.002,15,2,13,sens_drop_le_0p02,Meaning-aware contrastive SEC,Gangnam_internal_CV
1090,129,0.1,246,0.664,0.805,86,9,0.829,0.682,0.650,0.791,0.736,-0.054,0.690,0.763,0.073,0.702,0.760,0.058,0.255,0.294,0.961,0.956,95,34,733,228,2,9,77,7,0.065,<0.001,<0.001,79,16,63,sens_p_guard,Meaning-aware contrastive SEC,Gangnam_internal_CV
1090,129,none,1090,0.175,1.010,380,0,0.829,0.682,0.650,0.791,0.109,-0.682,0.690,0.994,0.304,0.702,0.889,0.187,0.255,0.700,0.961,0.893,14,115,955,6,0,88,292,0,<0.001,<0.001,<0.001,292,88,204,max_net,Meaning-aware contrastive SEC,Gangnam_internal_CV
