N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected,Cohort,Rule
1090,129,0.1,246,0.663655,0.805333,86,9,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.7364341085271318,-0.054263565891472854,0.6899063475546305,0.7627471383975026,0.0728407908428721,0.7018348623853211,0.7596330275229358,0.05779816513761471,0.255,0.29411764705882354,0.9608695652173913,0.9556714471968709,95,34,733,228,2,9,77,7,0.0654296875,5.137564699362503e-16,3.467543657796265e-11,79,16,63,Gangnam_internal_CV,no_sens_drop
926,141,0.1,182,0.663655,0.805333,65,2,0.833645028685007,0.7255283648498332,0.6752082807371875,0.8794326241134752,0.8439716312056738,-0.03546099290780147,0.5936305732484076,0.6675159235668789,0.07388535031847132,0.6371490280777538,0.6943844492440605,0.057235421166306755,0.2799097065462754,0.3131578947368421,0.9648033126293996,0.9597069597069597,119,22,524,261,0,5,60,2,0.0625,8.474124180146703e-16,1.3280368233066497e-11,60,7,53,Shinchon_sdata_external,no_sens_drop
