Cohort,N,Events,ClinicalPositiveN,ClinicalPositive_TP,ClinicalPositive_FP,RuleOutN,RuleOut_correctedFP,RuleOut_lostTP,ClinicalNegativeN,ClinicalNegative_TN,ClinicalNegative_FN,RuleInN,RuleIn_rescuedFN,RuleIn_addedFP,NetCorrected
Gangnam_internal_CV,1090,129,400,102,298,86,77,9,690,663,27,9,2,7,63
Shinchon_sdata_external,926,141,443,124,319,65,60,5,483,466,17,2,0,2,53
