N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected
1090,129,none,1090,0.174593,0.065684,380,655,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.3023255813953488,-0.4883720930232558,0.6899063475546305,0.3381893860561915,-0.35171696149843906,0.7018348623853211,0.3339449541284404,-0.3678899082568807,0.255,0.057777777777777775,0.9608695652173913,0.7831325301204819,39,90,325,636,25,88,292,630,2.0619745952810333e-09,2.9920318331201034e-29,2.2185272610823364e-36,317,718,-401
1090,129,none,1090,0.174593,0.085257,380,636,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.3023255813953488,-0.4883720930232558,0.6899063475546305,0.35796045785639957,-0.33194588969823097,0.7018348623853211,0.3513761467889908,-0.3504587155963303,0.255,0.05945121951219512,0.9608695652173913,0.7926267281105991,39,90,344,617,25,88,292,611,2.0619745952810333e-09,1.0634672438988262e-26,1.0598616741366862e-33,317,699,-382
1090,129,none,1090,0.174593,0.110932,380,617,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.2868217054263566,-0.5038759689922481,0.6899063475546305,0.3756503642039542,-0.31425598335067634,0.7018348623853211,0.3651376146788991,-0.336697247706422,0.255,0.058084772370486655,0.9608695652173913,0.7969094922737306,37,92,361,600,23,88,292,594,3.795723347076606e-10,1.7368260213480695e-24,9.239184225354513e-32,315,682,-367
1090,129,none,1090,0.174593,0.126201,380,599,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.2868217054263566,-0.5038759689922481,0.6899063475546305,0.39438085327783556,-0.295525494276795,0.7018348623853211,0.381651376146789,-0.3201834862385321,0.255,0.05977382875605816,0.9608695652173913,0.8046709129511678,37,92,379,582,23,88,292,576,3.795723347076606e-10,3.2221047482230593e-22,2.4806353702875804e-29,315,664,-349
1090,129,none,1090,0.174593,0.144717,380,580,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.2868217054263566,-0.5038759689922481,0.6899063475546305,0.4141519250780437,-0.2757544224765868,0.7018348623853211,0.39908256880733944,-0.30275229357798167,0.255,0.06166666666666667,0.9608695652173913,0.8122448979591836,37,92,398,563,23,88,292,557,3.795723347076606e-10,6.527731985611074e-20,7.679710685760622e-27,315,645,-330
1090,129,none,1090,0.174593,0.168291,380,561,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.27906976744186046,-0.5116279069767442,0.6899063475546305,0.4328824141519251,-0.25702393340270546,0.7018348623853211,0.41467889908256883,-0.2871559633027523,0.255,0.06196213425129088,0.9608695652173913,0.8172888015717092,36,93,416,545,22,88,292,539,1.5502748845162152e-10,8.172783942028911e-18,9.918850921381981e-25,314,627,-313
1090,129,none,1090,0.174593,0.180536,380,542,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.27906976744186046,-0.5116279069767442,0.6899063475546305,0.45265348595213317,-0.23725286160249737,0.7018348623853211,0.43211009174311926,-0.26972477064220185,0.255,0.06405693950177936,0.9608695652173913,0.8238636363636364,36,93,435,526,22,88,292,520,1.5502748845162152e-10,1.0687124966466494e-15,2.183770385193126e-22,314,608,-294
1090,129,none,1090,0.174593,0.194593,380,523,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.27906976744186046,-0.5116279069767442,0.6899063475546305,0.4724245577523413,-0.21748178980228922,0.7018348623853211,0.44954128440366975,-0.25229357798165136,0.255,0.06629834254143646,0.9608695652173913,0.829981718464351,36,93,454,507,22,88,292,501,1.5502748845162152e-10,1.0947479899523293e-13,3.940428152681619e-20,314,589,-275
1090,129,none,1090,0.174593,0.208596,380,504,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.2713178294573643,-0.5193798449612403,0.6899063475546305,0.4911550468262227,-0.19875130072840785,0.7018348623853211,0.4651376146788991,-0.23669724770642203,0.255,0.06679389312977099,0.9608695652173913,0.833922261484099,35,94,472,489,21,88,292,483,6.112691638091427e-11,6.92474084234244e-12,3.1527944138360123e-18,313,571,-258
1090,129,none,1090,0.174593,0.232796,380,485,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.2713178294573643,-0.5193798449612403,0.6899063475546305,0.5109261186264308,-0.17898022892819976,0.7018348623853211,0.48256880733944957,-0.21926605504587154,0.255,0.06930693069306931,0.9608695652173913,0.8393162393162393,35,94,491,470,21,88,292,464,6.112691638091427e-11,4.223665950783665e-10,3.8261703205558277e-16,313,552,-239
1090,129,none,1090,0.174593,0.246705,380,467,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.2713178294573643,-0.5193798449612403,0.6899063475546305,0.5296566077003122,-0.16024973985431834,0.7018348623853211,0.4990825688073395,-0.20275229357798163,0.255,0.07186858316221766,0.9608695652173913,0.8441127694859039,35,94,509,452,21,88,292,446,6.112691638091427e-11,1.5872642345554242e-08,2.913727423309512e-14,313,534,-221
1090,129,none,1090,0.174593,0.260463,380,448,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.2713178294573643,-0.5193798449612403,0.6899063475546305,0.5494276795005203,-0.14047866805411025,0.7018348623853211,0.5165137614678899,-0.18532110091743126,0.255,0.07478632478632478,0.9608695652173913,0.8488745980707395,35,94,528,433,21,88,292,427,6.112691638091427e-11,5.40299445279616e-07,2.225542013410987e-12,313,515,-202
1090,129,none,1090,0.174593,0.273311,380,429,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.26356589147286824,-0.5271317829457364,0.6899063475546305,0.5681581685744017,-0.12174817898022883,0.7018348623853211,0.5321100917431193,-0.16972477064220182,0.255,0.0757238307349666,0.9608695652173913,0.8517940717628705,34,95,546,415,20,88,292,409,2.3222098297326024e-11,1.1291808061591744e-05,8.202585619641137e-11,312,497,-185
