N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected,Rule,Model,Cohort
1090,129,0.075,190,0.830692,1.01,17,0,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.7751937984496124,-0.015503875968992165,0.6899063475546305,0.7055150884495317,0.015608740894901163,0.7018348623853211,0.7137614678899082,0.011926605504587129,0.255,0.26109660574412535,0.9608695652173913,0.958981612446959,100,29,678,283,0,2,15,0,0.5,6.103515625e-05,0.002349853515625,15,2,13,sens_drop_le_0p02,Meaning-aware contrastive SEC,Gangnam_internal_CV
1090,129,0.1,246,0.663655,0.805333,86,9,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.7364341085271318,-0.054263565891472854,0.6899063475546305,0.7627471383975026,0.0728407908428721,0.7018348623853211,0.7596330275229358,0.05779816513761471,0.255,0.29411764705882354,0.9608695652173913,0.9556714471968709,95,34,733,228,2,9,77,7,0.0654296875,5.137564699362503e-16,3.467543657796265e-11,79,16,63,sens_p_guard,Meaning-aware contrastive SEC,Gangnam_internal_CV
1090,129,none,1090,0.174593,1.01,380,0,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.10852713178294573,-0.6821705426356589,0.6899063475546305,0.9937565036420395,0.30385015608740895,0.7018348623853211,0.8889908256880734,0.1871559633027523,0.255,0.7,0.9608695652173913,0.8925233644859814,14,115,955,6,0,88,292,0,6.462348535570529e-27,2.513455854232436e-88,1.1495298442903566e-26,292,88,204,max_net,Meaning-aware contrastive SEC,Gangnam_internal_CV
