N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected,Cohort,Rule
1090,129,0.100,246,0.664,0.805,86,9,0.829,0.682,0.650,0.791,0.736,-0.054,0.690,0.763,0.073,0.702,0.760,0.058,0.255,0.294,0.961,0.956,95,34,733,228,2,9,77,7,0.065,<0.001,<0.001,79,16,63,Gangnam_internal_CV,no_sens_drop
926,141,0.100,182,0.664,0.805,65,2,0.834,0.726,0.675,0.879,0.844,-0.035,0.594,0.668,0.074,0.637,0.694,0.057,0.280,0.313,0.965,0.960,119,22,524,261,0,5,60,2,0.062,<0.001,<0.001,60,7,53,Shinchon_sdata_external,no_sens_drop
